	observed_otus
1939.SKBTI.1117.cropped.filtered.nonchimera.fasta	138
1939.SKBTI048.cropped.filtered.nonchimera.fasta	130
1939.SKBTI.0135.cropped.filtered.nonchimera.fasta	105
1939.SKBTI.0247.cropped.filtered.nonchimera.fasta	56
1939.SKBTI.1313.cropped.filtered.nonchimera.fasta	120
1939.SKBTI.1201.cropped.filtered.nonchimera.fasta	158
1939.SKBTI.0280.cropped.filtered.nonchimera.fasta	59
1939.SKBTI.0641.cropped.filtered.nonchimera.fasta	131
1939.SKBTI.1287.cropped.filtered.nonchimera.fasta	80
1939.SKBTI.0606.cropped.filtered.nonchimera.fasta	68
1939.SKBTI.1165.cropped.filtered.nonchimera.fasta	205
1939.SKBTI.0219.cropped.filtered.nonchimera.fasta	120
1939.SKBTI050.cropped.filtered.nonchimera.fasta	144
1939.SKBTI.0124.cropped.filtered.nonchimera.fasta	152
1939.SKBTI045.cropped.filtered.nonchimera.fasta	191
1939.SKBTI.0180.cropped.filtered.nonchimera.fasta	151
1939.SKBTI.0527.cropped.filtered.nonchimera.fasta	117
1939.SKBTI.0266.cropped.filtered.nonchimera.fasta	150
1939.SKBTI053.cropped.filtered.nonchimera.fasta	190
1939.SKBTI.0517.cropped.filtered.nonchimera.fasta	141
1939.SKBTI.0876.cropped.filtered.nonchimera.fasta	157
1939.SKBTI025.cropped.filtered.nonchimera.fasta	151
1939.SKBTI.1223.cropped.filtered.nonchimera.fasta	113
1939.SKBTI.1125.cropped.filtered.nonchimera.fasta	207
1939.SKBTI.1298.cropped.filtered.nonchimera.fasta	109
1939.SKBTI.1052.cropped.filtered.nonchimera.fasta	175
1939.SKBTI.0636.cropped.filtered.nonchimera.fasta	173
1939.SKBTI049.cropped.filtered.nonchimera.fasta	178
1939.SKBTI.0184.cropped.filtered.nonchimera.fasta	110
1939.SKBTI.1286.cropped.filtered.nonchimera.fasta	74
1939.SKBTI075.cropped.filtered.nonchimera.fasta	169
1939.SKBTI.0206.cropped.filtered.nonchimera.fasta	153
1939.SKBTI.1134.cropped.filtered.nonchimera.fasta	136
1939.SKBTI.0232.cropped.filtered.nonchimera.fasta	113
1939.SKBTI.1295.cropped.filtered.nonchimera.fasta	92
1939.SKBTI.1177.cropped.filtered.nonchimera.fasta	157
1939.SKBTI074.cropped.filtered.nonchimera.fasta	137
1939.SKBTI.0591.cropped.filtered.nonchimera.fasta	151
1939.SKBTI.1332.cropped.filtered.nonchimera.fasta	74
1939.SKBTI.0152.cropped.filtered.nonchimera.fasta	168
1939.SKBTI047.cropped.filtered.nonchimera.fasta	144
1939.SKBTI.0549.cropped.filtered.nonchimera.fasta	220
1939.SKBTI.0158.cropped.filtered.nonchimera.fasta	137
1939.SKBTI.0282.cropped.filtered.nonchimera.fasta	151
1939.SKBTI.0974.cropped.filtered.nonchimera.fasta	101
1939.SKBTI.0265.cropped.filtered.nonchimera.fasta	97
1939.SKBTI.1350.cropped.filtered.nonchimera.fasta	112
1939.SKBTI.1338.cropped.filtered.nonchimera.fasta	94
