	S12	S10	S11	S1	S28	S8	S20	S15	S39	S27	S21	S3	S32	S14	S9	S25	S33	S4	S40	S37	S19	S30	S22	S26	S16	S2	S36	S7	S6	S17	S5	S35	S23	S18	S24	S31	S29	S13
K00018	0.590944889442	0.636703484111	0.662944711787	0.433673126633	0.895580570303	0.482774518803	0.680461351355	0.431566126054	0.91935939222	0.761845948549	0.651786169954	0.75108357942	0.759502440404	0.33368757669	0.899282806298	0.482711024901	0.715153485082	0.834600914047	0.856852831744	0.713664427958	0.0580158387616	1.02064240299	1.04867753866	1.37037858295	0.762253062731	0.4826843092	1.20617718604	0.287735253928	0.554427529447	0.869936264644	1.15610822567	0.703244632262	0.699526856271	0.766489824318	0.499818874591	0.400586124985	0.460519668241	0
K00019	0	0	0.0528383796757	0	0	0	0	0.0234942473691	0.0374438924436	0	0	0.0426376284239	0.0556920078379	0.188076495104	0.0151442950611	0	0	0	0	0.0270156767282	0.240658468931	0	0	0.024257073552	0.0439513239761	0	0	0	0	0	0	0.0324656580616	0	0	0.247511311277	0.0492146605015	0	0
K00020	0	0	0.0659324445503	0.0787434683963	0	0	0.0342186890222	0.0229752802105	0.0669630723121	0	0.141581852311	0.0402267276803	0.151739758113	0.152549555352	0	0	0.100375577549	0	0	0.0432107609647	0	0	0	0.0693773408997	0.0412196044144	0	0	0.0576417753021	0	0	0	0.0328827413786	0	0.0573450601222	0	0.0905731311605	0.210012735041	0
K00024	0.991602378248	1.07809314291	1.38710298948	0.642691561588	0.722803082032	0.975460827981	0.847980767541	0.629517520351	0.974613411106	0.524672328523	1.05531428298	1.18396827332	0.909727822525	0.849789957	1.31552759025	0.97533253659	1.12500449445	1.71000782035	0.576765463028	0.931624986451	0.131936015938	0.68680809367	0	0.889088301794	0.869920095344	0.409160350064	0.696496413029	1.29065242849	1.27194078585	1.49922388237	2.02333248356	0.788460187293	0.672490558724	1.0493422262	1.12377764059	1.10629478697	0	0.709695026867
K00027	0.659260196181	0.811250202209	0.553681974261	0.638841710502	1.1397722113	0.634671028264	0.576271426137	0.645923730878	0.611945045436	0.841230222672	0.732315510981	0.585348939986	0.687569567239	0.572435626338	0.599497138185	0.634587557123	1.2738630661	0.428422538682	0.615224275512	0.478164221841	0.50182905358	1.71955062188	1.6690647769	0.711316365922	0.887040639945	1.18498541643	0.76836525342	0.424268256339	1.05988790348	0.417179080701	0	0.866548516024	0.590018881218	0.360020904832	0.787463101379	0.462266598383	1.92680226443	0
K00028	0	0	0	0	0	0	0	0.0160099334002	0.0120530221395	0	0.0176323045741	0.0104164858575	0.0117680335205	0.00962386245177	0.012526131262	0	0	0	0.0126689525002	0	0.0192205015083	0	0	0.0141104910956	0.0129897876588	0	0	0	0	0	0	0.015927211731	0	0	0	0	0	0
K00029	0.522531772231	0.588734753044	0.639847165223	0.410455315507	0.192661081174	0.577947852696	0.521998744737	0.253399132816	0.44054516598	0.262165878227	0.49531117166	0.604176772354	0.666345549668	0.775014078682	0.644917616108	0.577871841716	0	0.586145108984	0.650128893748	0.387414872747	0.660473272692	0	0	0.53804072549	0.440224390498	0	0.432132568868	0.72989819713	0	0.506618335625	0	0.486649904899	0.632701644986	0.711758229087	0.700471178545	0.782834608047	0	0
K00030	0	0.299574633148	0.0516816355659	0	0	0	0.0422248891637	0.0298276887918	0.0674418691423	0	0	0.0521410389546	0.025256283644	0.0514994342574	0.0338432446209	0	0	0	0.0908247862034	0	0.0385938989501	0	0	0.107967447499	0.10526383673	0	0	0	0	0.0549190965747	0	0.0826672526438	0.0309865212864	0.115780351209	0.171602296932	0.0302679077223	0	0
K00031	0.473051778737	1.40704493998	0.564267873976	0.819413460913	0.617107147312	0.728749632315	0.465217009352	0.555501483993	0.738992547099	0	0.460678807081	0.729880426094	0.374469807667	0.857982565828	0.74430570888	0.728653788073	0	0.784563240265	0.37706754692	0.714310662476	0.700051663324	0.543110150079	0	0.723760855212	0.837086811439	0.510097063513	0.327707913124	0.592904633901	0.967692454678	0.633958415922	0.812103733367	0.645520452538	0.938848294944	1.02574989314	0.277000646151	0.554361274033	0	0.689431992364
K00033	0.259828937859	0.664980026052	0.837145779828	0.232879831201	0	0.71417064964	0.33843646669	0.313572680354	0.465090806325	0.300599298803	0.340254429571	0.632533007831	0.669137487674	0.4055032596	0.689860348663	0.714076722808	0.571906784339	0	0.515215270839	0.504897293694	0	0	1.12428239503	0.782892479988	0.308826642438	0	0.246919454755	0.499379360265	1.01822447941	0.447069398556	0	0.459352887083	0.683132850243	0.90410905771	0.707887613118	0.844821421863	0	0.824758940475
K00036	0.344157071031	0	0.648419289947	0.370453313942	0	0.480641938744	0.252136730022	0.195756227941	0.448851474802	0.258149855516	0.45189948501	0.650609322306	0.616169435542	0.439979698522	0.633053382332	0.480578725316	0.809923618206	0.672634382648	0.528345020689	0.586818714181	0	0	0.74065412087	0.577092847396	0.232568230496	0	0.622654552115	0.496550373152	0	0.59769689605	0.69551606517	0.422878128549	0.406505622058	0.569197611471	0.27923247671	0.753425193535	0	0
