	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S1	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S35	S36	S37	S39	S3	S40	S4	S5	S6	S7	S8	S9
ko00071	0.2404253108	0.2227385105	0.1614246142	0.2843114761	0.3239663179	0.1325361369	0.1665515773	0.1998536053	0.2213951165	0.3057237019	0.1999510925	0.2114802128	0	0	0.2089046099	0	0.2532532423	0.2412276896	0	0.1840991808	0.1571137718	0.1977972066	0.1220130772	0.3071985335	0.2191660239	0	0.1881199441	0.2099239489	0.1604210916	0.2046936324	0.1960739117	0.1875193994	0	0.2257378796	0.2707052757	0.1920766130	0.2532857416	0.1988383359
ko00072	0	0	0	0	0.4523066393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00100	0	0	0.0122755977	0	0.0086630561	0.0041048164	0	0	0	0.0381211881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0886321084	0	0	0	0	0	0	0	0	0	0	0	0	0.1707612231	0	0	0	0	0	0	0
ko00121	1.3833736076	1.3242866263	0.7566241724	0.8458050231	0.5245793740	0.7688113106	1.2004301742	1.0728756742	0.9265478037	0	1.2787767104	1.4987143049	0.7233736068	1.9518652881	1.2606855743	0.7513142027	1.4504195896	0.7976889756	0.7625982889	0.8597502459	0.9477787522	0.7823390716	0.4822679934	0.9179648821	1.1489168405	0.9604356957	1.3160774213	0.6927702658	0.9415038023	1.2740571149	1.5368510082	1.1372377562	0.9144871363	2.1007265143	0	1.4725853333	1.4506103720	1.4541093675
ko00130	0.2408278913	0.2142310438	0.1045024096	0.4897361107	0.3487531721	0.0802411760	0.1141443220	0.1780858180	0.3352203310	0.0533307350	0.1601316077	0.1344562474	0.1846894755	0	0.2477001172	0.1415645375	0.1681058237	0.1931499476	0.0913740708	0.1423647090	0.0292552578	0.0213326044	0	0.4546083785	0.2586769738	0.1656984650	0.1278920780	0.0872688235	0.1394526890	0.1894445406	0.1926989178	0.1549764638	0.1946546916	0.2923426792	0.2095682623	0.1876821453	0.1681279356	0.2234691391
ko00140	0.0815444848	0.0918856390	0	0.1144386789	0.0458205574	0.0565067977	0.0326441788	0.0721834986	0.0899134961	0	0	0.0726984242	0.0810970233	0	0.0834049110	0.0280923026	0	0.0666407160	0.0288106285	0.0524359046	0	0.0773134487	0.0388536204	0.0934594296	0.1081297662	0.0660497372	0.0724779243	0.0264177570	0.0716554936	0.0863605958	0.1364799084	0.1036171714	0.1480241500	0	0	0.1233293522	0	0.0775150326
ko00190	0.2522243939	0.2594630132	0.2246395591	0.1819601935	0.2314716911	0.1553667484	0.1937311964	0.2373468837	0.2558055728	0.1967439272	0.1949543682	0.2239168548	0.1889921964	0.1898873577	0.2267017635	0.1754733069	0.2120140634	0.2380363793	0.1380768568	0.1347120073	0.1341848486	0.1300598483	0.1198386879	0.2483110860	0.2145025193	0.2029177513	0.2049568793	0.1865851477	0.2029731684	0.2252287052	0.2336464411	0.2292538598	0.2092323497	0.2094406083	0.1152022916	0.2303671147	0.2120419509	0.2318591804
ko00230	0.4346737973	0.4291322610	0.3895075154	0.4692164982	0.4422238593	0.3171210505	0.3713099543	0.3978022157	0.4342252111	0.3008365997	0.3623568917	0.3691100583	0.4218506943	0.3878245044	0.3708790534	0.4203034760	0.4195853905	0.4365042080	0.3101404326	0.3601934265	0.3517219424	0.3366917074	0.3366268294	0.4963155800	0.4114113102	0.4113495197	0.3802059349	0.3756721130	0.3926170966	0.4082868809	0.4119269718	0.3975734081	0.3927829359	0.3664911596	0.4898454572	0.3836377264	0.4194430299	0.4024405404
ko00240	0.5733851327	0.5558122627	0.5132099338	0.4892587185	0.5559280694	0.4253133730	0.5037136402	0.5124139265	0.5589259441	0.4383568165	0.5102790211	0.4997228072	0.5643928362	0.5824992233	0.5178540026	0.5305661305	0.5729107335	0.5609975341	0.4261159534	0.5087345073	0.4227764993	0.3889174353	0.4541749244	0.6031639581	0.5246246445	0.6182658276	0.5105572176	0.4554292028	0.5081800882	0.5505444819	0.5347107190	0.5173148941	0.5502978523	0.4587725775	0.4598083997	0.5282625598	0.5726719345	0.5390600925
